ID;RA;Compuesto;Concentración;Cantidad
Ff-3;1;IPA;27,3339241109;19,4686069166
Ff-3;2;IPA;27,1639129464;19,3475163436
Ff-3;3;IPA;27,9035470326;19,8743212483
Ff-1;1;IPA;41,9450951752;30,0753550491
Ff-1;2;IPA;42,519068198;30,4869035837
Ff-1;3;IPA;39,7212815708;28,4808424265
Ff-2;1;IPA;NA;NA
Ff-2;2;IPA;NA;NA
Ff-2;3;IPA;20,2309696606;14,6036835856
T1-4;1;BK;6248,4923189608;4646,8708371052
T1-4;2;BK;6001,8248806864;4463,4295096825
T1-4;3;BK;6259,6497274033;4655,1683644546
T1-5;1;BK;8712,5086676593;6298,1990368622
T1-5;2;BK;8196,485009478;5925,1698863696
T1-5;3;BK;8636,0599174779;6242,9348801045
T1-2;1;BK;9012,26072204;6633,1653989499
T1-2;2;BK;9742,960725557;7170,9720747475
T1-2;3;BK;9148,7590449127;6733,6303078356
T1-1;1;BK;8071,4679203952;5946,5628097214
T1-1;2;BK;8715,082763637;6420,7387747817
T1-1;3;BK;8651,6732946668;6374,0225648331
T1-3;1;BK;12147,50869495;8853,8693111881
T1-3;2;BK;11746,5105826161;8561,5966345598
T1-3;3;BK;12207,0871309736;8897,2938272402
Ff-4;1;BK;969,0846165334;726,0873750251
Ff-4;2;BK;941,830590858;705,6672758677
Ff-4;3;BK;943,0399993988;706,573426123
Ff-5;1;BK;2278,6660501802;1682,914364978
Ff-5;2;BK;2328,8854096042;1720,0039952764
Ff-5;3;BK;2262,7735372289;1671,1769108042
Ff-3;1;BK;2230,1613471233;1588,4340079226
Ff-3;2;BK;2210,0638800636;1574,1195726949
Ff-3;3;BK;2189,9182532931;1559,7708356788
Ff-1;1;BK;1449,3623798619;1039,2177675874
Ff-1;2;BK;1427,2433554184;1023,3580464281
Ff-1;3;BK;1460,4217642542;1047,1475365112
Ff-2;1;BK;927,2087384017;669,3037091446
Ff-2;2;BK;907,8223804376;655,3097067644
Ff-2;3;BK;866,9497772451;625,8059027275
T1-4;1;GA3;NA;NA
T1-4;2;GA3;NA;NA
T1-4;3;GA3;NA;NA
T1-5;1;GA3;NA;NA
T1-5;2;GA3;NA;NA
T1-5;3;GA3;NA;NA
T1-2;1;GA3;NA;NA
T1-2;2;GA3;NA;NA
T1-2;3;GA3;NA;NA
T1-1;1;GA3;NA;NA
T1-1;2;GA3;NA;NA
T1-1;3;GA3;NA;NA
T1-3;1;GA3;50,3284235203;36,6825244317
T1-3;2;GA3;48,0160682394;34,9971342853
T1-3;3;GA3;49,940400692;36,3997089592
Ff-4;1;GA3;NA;NA
Ff-4;2;GA3;NA;NA
Ff-4;3;GA3;NA;NA
Ff-5;1;GA3;NA;NA
Ff-5;2;GA3;NA;NA
Ff-5;3;GA3;NA;NA
Ff-3;1;GA3;5,755369496;4,0992660228
Ff-3;2;GA3;5,0428273042;3,5917573391
Ff-3;3;GA3;6,929925055;4,9358440563
Ff-1;1;GA3;13,0570524441;9,3621312935
Ff-1;2;GA3;12,8804062241;9,235472914
Ff-1;3;GA3;10,994346992;7,8831359885
Ff-2;1;GA3;NA;NA
Ff-2;2;GA3;NA;NA
Ff-2;3;GA3;NA;NA
T1-4;1;GA9;1,7385864467;1,2929497621
T1-4;2;GA9;1,8408747358;1,369019387
T1-4;3;GA9;1,8032658638;1,3410504689
T1-5;1;GA9;NA;NA
T1-5;2;GA9;NA;NA
T1-5;3;GA9;NA;NA
T1-2;1;GA9;5,5342172401;4,0732707851
T1-2;2;GA9;6,8303631767;5,0272545461
T1-2;3;GA9;6,7192702963;4,9454884418
T1-1;1;GA9;6,3686572739;4,692036302
T1-1;2;GA9;7,5480461512;5,5609377342
T1-1;3;GA9;6,5947764351;4,8586270396
T1-3;1;GA9;8,6268996984;6,2878277685
T1-3;2;GA9;9,8822867808;7,2028329306
T1-3;3;GA9;9,3609741387;6,8228674481
Ff-4;1;GA9;2,0662382573;1,5481305624
Ff-4;2;GA9;1,9064343108;1,4283973358
Ff-4;3;GA9;2,4460493771;1,8327043285
Ff-5;1;GA9;2,6564797844;1,9619496192
Ff-5;2;GA9;1,4883839066;1,0992495618
Ff-5;3;GA9;1,7066887627;1,2604791453
Ff-3;1;GA9;5,6876876012;4,051059545
Ff-3;2;GA9;6,4979445154;4,6281656093
Ff-3;3;GA9;6,0277098701;4,2932406482
Ff-1;1;GA9;5,1953623409;3,7251642024
Ff-1;2;GA9;5,0365084659;3,6112632404
Ff-1;3;GA9;5,1476657923;3,6909649562
Ff-2;1;GA9;5,0444891949;3,6413540868
Ff-2;2;GA9;4,6595425464;3,3634811451
Ff-2;3;GA9;4,4341344745;3,2007707949
